"logFC" "logCPM" "F" "PValue"
"EleInSChr1g000020-mRNA-1" 0.0364445380319683 4.17717734187873 0.0414926646721171 0.841027537028166
"EleInSChr1g000080-mRNA-1" -0.167869470318589 3.25152956294794 3.01839782748342 0.100550393854367
"EleInSChr1g000090-mRNA-1" 0.270320577017894 4.0441588594212 7.82549971150223 0.0124409716673337
"EleInSChr1g000100-mRNA-1" 0.0319857549129535 5.45619919260524 0.17362377667372 0.682166320030214
"EleInSChr1g000030-mRNA-1" 0.319642432914867 4.35537319530174 27.7509524275873 6.44539224107215e-05
"EleInSChr1g000040-mRNA-1" -0.0289798989715945 6.52067563004555 0.253465974997696 0.621157184065166
"EleInSChr1g000170-mRNA-1" 0.611891100302303 -1.1637499315821 3.50082867519747 0.0787917539005343
"EleInSChr1g000110-mRNA-1" 0.253023200066745 6.67345114728394 11.3627655850239 0.00366255562851876
"EleInSChr1g000120-mRNA-1" 0.167362240725086 4.30911917231745 6.62913953771129 0.0197680669447667
"EleInSChr1g000050-mRNA-1" -0.147332634006836 2.98546052783608 2.29620633519213 0.148208022014832
"EleInSChr1g000130-mRNA-1" -0.786828056080602 4.07523092239026 18.7945823606822 0.00045719757510535
"EleInSChr1g000060-mRNA-1" -0.31367138103725 6.57010516454945 5.96732139670755 0.0258850638427889
"EleInSChr1g000140-mRNA-1" 0.105533565944328 4.00916218105742 2.3814409146892 0.141339493037236
"EleInSChr1g000070-mRNA-1" 0.186923776795628 8.04925253560738 4.55664343307625 0.0477695386544394
"EleInSChr1g000200-mRNA-1" -0.118246760052868 5.24194748409816 0.521680581848466 0.480021891563006
"EleInSChr1g000210-mRNA-1" -0.347564548206473 4.13554501361933 4.66784643700552 0.0454206397946098
"EleInSChr1g000190-mRNA-1" 0.0249649399898397 3.57654222291335 0.0418360121338031 0.840380756935428
"EleInSChr1g000150-mRNA-1" -0.0598656852557431 3.19654022003955 0.279549025417388 0.60388631703801
"EleInSChr1g000370-mRNA-1" 0.147600509517983 1.31073847921498 0.36586711008658 0.553317809185601
"EleInSChr1g000230-mRNA-1" 0.0677923968990759 4.05620176245399 1.10707318442983 0.307561929717941
"EleInSChr1g000260-mRNA-1" 0.169271948994381 4.67099796716177 3.78696668359231 0.06851224002751
"EleInSChr1g000270-mRNA-1" 0.0508356052311873 2.88159204138052 0.187422309376355 0.670556399379944
"EleInSChr1g000340-mRNA-1" -0.157466510478367 -1.1523167391591 0.146339918964756 0.706836062409882
"EleInSChr1g000300-mRNA-1" 4.68635106351417 0.14070710578224 94.0176062021107 2.61238411500778e-08
"EleInSChr1g000240-mRNA-1" 6.99122254682888 0.0990288031812361 177.19009672918 2.25533062862363e-10
"EleInSChr1g000280-mRNA-1" -0.0331844385782269 7.62762169786958 0.146185849822177 0.706982659683376
"EleInSChr1g000330-mRNA-1" -0.13164264046129 -1.12734605011052 0.0930520128151536 0.764064924157829
"EleInSChr1g000290-mRNA-1" -0.0278885773902362 7.07966768847001 0.215780036432827 0.648214797329457
"EleInSChr1g000250-mRNA-1" -0.633712750108821 2.96139629883847 8.25866954023542 0.0105937154162563
"EleInSChr1g000360-mRNA-1" -0.428675504314767 2.48013648959649 13.3580457698356 0.00198290154459602
"EleInSChr1g000380-mRNA-1" 0.3697396389822 4.01167132053995 18.6521293333594 0.000473602841520631
"EleInSChr1g000390-mRNA-1" 0.347743676520173 6.72452347851247 11.4262445934572 0.00358905408837992
"EleInSChr1g000400-mRNA-1" 0.0181394574088225 4.1705398373571 0.0505880899270728 0.824745715537757
"EleInSChr1g000420-mRNA-1" -0.133229389813475 4.39609882436924 3.68444142410416 0.072003616487242
"EleInSChr1g000490-mRNA-1" 0.272227622965994 6.2620245699024 3.20777050523984 0.0912533695751391
"EleInSChr1g000430-mRNA-1" -0.35063897509473 6.07966021969911 36.7537683449531 1.31241269859987e-05
"EleInSChr1g000410-mRNA-1" 0.0106782459559493 7.46264058589895 0.0278701714417087 0.86939970010543
